date,Active Cases,7 day rolling average
2021-01-02,134,
2021-01-06,94,
2021-01-07,91,
2021-01-08,94,
2021-01-09,89,
2021-01-11,90,
2021-01-13,86,96.85714285714286
2021-01-18,73,88.14285714285714
2021-01-20,61,83.42857142857143
2021-01-21,54,78.14285714285714
2021-01-22,49,71.71428571428571
2021-01-25,34,63.857142857142854
2021-01-27,29,55.142857142857146
2021-01-28,28,46.857142857142854
2021-01-29,26,40.142857142857146
2021-02-01,12,33.142857142857146
2021-02-03,11,27.0
2021-02-08,11,21.571428571428573
2021-02-25,11,18.285714285714285
2021-02-26,13,16.0
2021-03-01,19,14.714285714285714
2021-03-03,21,14.0
2021-03-04,22,15.428571428571429
2021-03-05,22,17.0
2021-03-08,22,18.571428571428573
2021-03-09,22,20.142857142857142
2021-03-10,29,22.428571428571427
2021-03-11,28,23.714285714285715
2021-03-12,31,25.142857142857142
2021-03-15,29,26.142857142857142
2021-03-17,33,27.714285714285715
2021-03-18,48,31.428571428571427
2021-03-19,52,35.714285714285715
2021-03-20,68,41.285714285714285
2021-03-22,106,52.42857142857143
2021-03-24,150,69.42857142857143
2021-03-25,184,91.57142857142857
2021-03-26,213,117.28571428571429
2021-03-27,294,152.42857142857142
2021-03-29,396,201.57142857142858
2021-03-31,476,259.85714285714283
2021-04-01,537,321.42857142857144
2021-04-03,630,390.0
2021-04-05,656,457.42857142857144
2021-04-07,737,532.2857142857143
2021-04-08,779,601.5714285714286
2021-04-09,871,669.4285714285714
2021-04-11,877,726.7142857142857
2021-04-12,859,772.7142857142857
2021-04-14,880,808.4285714285714
2021-04-15,866,838.4285714285714
2021-04-17,868,857.1428571428571
2021-04-19,904,875.0
2021-04-20,893,878.1428571428571
2021-04-21,845,873.5714285714286
2021-04-22,782,862.5714285714286
2021-04-23,720,839.7142857142857
2021-04-24,676,812.5714285714286
2021-04-26,609,775.5714285714286
2021-04-27,601,732.2857142857143
2021-04-28,582,687.8571428571429
2021-04-29,550,645.7142857142857
2021-04-30,545,611.8571428571429
2021-05-03,426,569.8571428571429
2021-05-04,417,532.8571428571429
2021-05-05,383,500.57142857142856
2021-05-06,340,463.2857142857143
2021-05-07,309,424.2857142857143
2021-05-10,250,381.42857142857144
2021-05-11,242,338.14285714285717
2021-05-12,208,307.0
2021-05-13,196,275.42857142857144
2021-05-14,184,247.0
2021-05-17,161,221.42857142857142
